Designator,Mid X,Mid Y,Rotation,Layer
C1,104.86,-110.3,180.0,top
C10,106.225,-95.49,90.0,top
C101,89.21375,-123.43,90.0,top
C102,64.025,-84.5,0.0,top
C103,89.29,-129.73,270.0,top
C11,128.02,-98.05,180.0,top
C12,121.375,-95.195,90.0,top
C2,122.41,-110.05,180.0,top
C201,137.575,-107.55,0.0,top
C202,137.525,-85.925,0.0,top
C203,137.575,-96.85,0.0,top
C204,103.5,-84.1,180.0,top
C205,103.425,-92.775,90.0,top
C206,103.6,-97.9,180.0,top
C207,103.5,-95.9,180.0,top
C208,103.492948,-89.292676,270.0,top
C209,103.5,-86.2,180.0,top
C210,94.42,-87.2,0.0,top
C211,105.7,-100.83,0.0,top
C212,122.8,-100.44,0.0,top
C3,122.89,-102.42,0.0,top
C301,102.06,-129.43,0.0,top
C304,117.815,-130.055,270.0,top
C32,95.976244,-119.712708,0.0,top
C33,96.756244,-122.315208,90.0,top
C34,98.23,-116.87,180.0,top
C35,101.87,-119.57,270.0,top
C36,101.66,-116.0,90.0,top
C37,101.465,-122.22,90.0,top
C38,118.415,-116.775,0.0,top
C39,95.53,-126.82,90.0,top
C4,104.79,-102.84,0.0,top
C40,127.31,-133.85,0.0,top
C401,73.11,-100.63,270.0,top
C402,75.8515,-130.04,180.0,top
C403,114.65,-96.05,0.0,top
C404,69.7965,-132.765,180.0,top
C405,71.2765,-129.615,90.0,top
C406,72.92,-135.15,270.0,top
C41,127.35,-135.91,0.0,top
C42,124.46,-136.87,270.0,top
C43,107.46,-132.8,180.0,top
C501,71.105,-107.705,0.0,top
C502,70.505,-103.555,0.0,top
C503,68.45,-84.975,90.0,top
C504,60.725,-112.35,180.0,top
C505,51.825,-118.275,180.0,top
C506,51.85,-116.2,180.0,top
C507,51.875,-114.15,180.0,top
C508,51.875,-112.125,180.0,top
C509,49.6,-98.7,180.0,top
C510,60.1,-94.175,90.0,top
C511,49.63,-109.42,270.0,top
C512,49.85,-100.475,180.0,top
C513,70.7,-84.675,90.0,top
C514,70.505,-105.555,0.0,top
C515,72.85,-84.375,90.0,top
C516,93.96,-97.775,270.0,top
C517,91.9,-97.775,270.0,top
C518,89.93,-97.745,270.0,top
C519,87.9,-97.75,270.0,top
C520,77.31,-107.6,270.0,top
C521,82.66,-105.5,180.0,top
C522,83.54,-108.17,90.0,top
C523,48.6,-110.0,270.0,top
C524,81.45,-110.95,270.0,top
C6,129.385,-92.95,270.0,top
C8,114.69,-91.7,180.0,top
C9,113.0,-97.9,180.0,top
D10,129.525,-102.25,90.0,top
D11,118.46,-103.34,90.0,top
D2,122.0,-130.3,0.0,top
D401,72.2725,-94.97,180.0,top
D402,115.9,-98.0,0.0,top
D5,105.01,-126.91,0.0,top
D501,90.4,-84.7,180.0,top
D502,55.8,-111.2,90.0,top
D503,53.6,-95.3875,0.0,top
D504,88.7,-92.4,90.0,top
D505,88.14,-103.035,90.0,top
D8,100.775,-105.175,90.0,top
D9,111.975,-102.7,90.0,top
FID101,127.79,-86.12,0.0,top
FID102,48.65,-93.33,0.0,top
FID103,136.83,-128.65,0.0,top
FID104,50.97,-130.8,0.0,top
J301,115.35,-137.73,90.0,top
J501,53.35,-137.73,90.0,top
L301,109.355,-118.045,0.0,top
L302,122.655,-123.265,0.0,top
L501,63.555,-104.47,270.0,top
L502,65.15,-118.825,0.0,top
L505,80.41,-90.585,180.0,top
P101,54.0,-85.5,0.0,top
P201,113.0,-85.5,0.0,top
Q501,46.425,-114.3875,270.0,top
Q502,78.795,-114.33,270.0,top
R1,115.58,-103.39,270.0,top
R10,121.1,-92.75,90.0,top
R18,99.3,-131.08,0.0,top
R19,95.246244,-122.320208,270.0,top
R2,126.5,-101.175,90.0,top
R20,106.1675,-129.52,0.0,top
R21,103.4,-124.16,0.0,top
R22,99.36,-120.72,90.0,top
R23,95.3,-129.275,90.0,top
R24,96.83,-127.25,90.0,top
R3,97.875,-105.8375,270.0,top
R4,109.075,-101.55,270.0,top
R401,69.85,-98.475,270.0,top
R402,70.425,-100.25,0.0,top
R403,77.14,-138.36,270.0,top
R404,79.82,-137.46,270.0,top
R405,116.575,-96.625,180.0,top
R406,118.965,-95.045,180.0,top
R407,120.35,-96.875,180.0,top
R408,70.225,-101.75,180.0,top
R409,76.8265,-128.865,180.0,top
R410,72.7015,-130.04,180.0,top
R411,77.5965,-133.32,270.0,top
R412,79.1015,-131.29,270.0,top
R413,77.2765,-130.415,270.0,top
R414,74.33,-134.73,180.0,top
R5,112.995,-92.75,270.0,top
R501,47.275,-110.3,270.0,top
R502,53.3125,-92.8625,0.0,top
R503,52.45,-109.525,90.0,top
R504,48.575,-112.65,180.0,top
R505,45.725,-110.3,90.0,top
R506,52.125,-99.625,270.0,top
R507,56.5,-98.225,0.0,top
R508,58.375,-94.65,90.0,top
R509,50.875,-109.525,270.0,top
R510,90.665,-101.185,90.0,top
R511,77.855,-111.57,0.0,top
R512,85.375,-110.67,180.0,top
R513,81.225,-114.9,90.0,top
R514,80.2,-111.875,90.0,top
R515,77.33,-104.59,90.0,top
R516,83.43,-104.07,0.0,top
R517,85.21,-107.33,270.0,top
R518,82.34,-107.53,90.0,top
R6,112.965,-95.81,90.0,top
R7,105.915,-92.995,90.0,top
R8,128.07,-96.0,90.0,top
R9,128.075,-92.95,90.0,top
U10,112.27,-125.92,270.0,top
U101,84.46625,-125.31,270.0,top
U102,64.64,-89.268599,90.0,top
U201,124.025,-106.205,270.0,top
U202,106.445,-106.555,270.0,top
U204,94.1,-91.583411,90.0,top
U302,113.4,-131.13,0.0,top
U402,72.02,-98.01,270.0,top
U403,114.675,-93.9875,270.0,top
U404,73.8515,-132.39,90.0,top
U501,55.7,-103.3,180.0,top
U502,51.1,-104.425,90.0,top
U503,81.9,-100.4,90.0,top
U504,79.85,-106.825,90.0,top
U6,124.615,-94.9,0.0,top
U7,109.49,-95.095,0.0,top
U9,99.57,-127.15,90.0,top
